Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 248, LB: 206147.35839601114, (exp UB:204576.4033043441),  Gap: -0.77,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 2, Duration: 262, LB: 206147.49842500006, (exp UB:210500.16928749994),  Gap: 2.07,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 275, LB: 206147.62042500006, (exp UB:214708.66762083332),  Gap: 3.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 289, LB: 206147.61842500002, (exp UB:204517.04479790255),  Gap: -0.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 303, LB: 206147.652425, (exp UB:196039.38482916667),  Gap: -5.16,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 317, LB: 206147.67442499986, (exp UB:210985.59728750007),  Gap: 2.29,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 331, LB: 206147.82042499978, (exp UB:210786.87262083322),  Gap: 2.20,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 348, LB: 206147.66442500002, (exp UB:196314.38263405286),  Gap: -5.01,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 361, LB: 206147.6926042058, (exp UB:196014.8428291667),  Gap: -5.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 377, LB: 206147.7275415118, (exp UB:211963.87928750002),  Gap: 2.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 11, Duration: 390, LB: 206147.5604250002, (exp UB:204984.89606158287),  Gap: -0.57,  Fixed x: False,  Fixed thetavar: False  
