Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 423, LB: 16758185.853059592, (exp UB:255136940.00559098),  Gap: 93.43,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 495, LB: 16758185.853059592, (exp UB:206235086.2134781),  Gap: 91.87,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 527, LB: 16758185.853059592, (exp UB:282566598.1224061),  Gap: 94.07,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 555, LB: 16758185.853059592, (exp UB:248408936.38533115),  Gap: 93.25,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 585, LB: 16758185.853059592, (exp UB:202793711.055893),  Gap: 91.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 612, LB: 16758185.853059592, (exp UB:214123868.97439107),  Gap: 92.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 636, LB: 16758185.853059592, (exp UB:222468506.08589464),  Gap: 92.47,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 670, LB: 16758185.853059592, (exp UB:236312779.856955),  Gap: 92.91,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 699, LB: 16758185.853059592, (exp UB:254323873.0751232),  Gap: 93.41,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 726, LB: 16758185.853059592, (exp UB:230698378.64065075),  Gap: 92.74,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 11, Duration: 994, LB: 16758191.503749385, (exp UB:13475505.931597993),  Gap: -24.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 1062, LB: 17415314.39401669, (exp UB:13168382.588473033),  Gap: -32.25,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 1137, LB: 17416640.546342567, (exp UB:15281190.752351793),  Gap: -13.97,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 1225, LB: 17420655.93019414, (exp UB:13259293.361404471),  Gap: -31.38,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 1303, LB: 17419799.39743996, (exp UB:14646051.720453843),  Gap: -18.94,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 1385, LB: 17420323.23070058, (exp UB:14120763.378444113),  Gap: -23.37,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 1473, LB: 17420378.57951527, (exp UB:12384924.607162016),  Gap: -40.66,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 1569, LB: 17420717.18009219, (exp UB:12177465.30818849),  Gap: -43.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 1662, LB: 17421456.104783237, (exp UB:12982025.755754182),  Gap: -34.20,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 1811, LB: 17420891.255050533, (exp UB:12895532.355241809),  Gap: -35.09,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 2035, LB: 17420814.434809256, (exp UB:12831389.16408759),  Gap: -35.77,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 2184, LB: 17421250.664292395, (exp UB:12823169.643237725),  Gap: -35.86,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 2311, LB: 17421363.543030813, (exp UB:18320828.808684863),  Gap: 4.91,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 2440, LB: 17421100.97559563, (exp UB:9484493.862006966),  Gap: -83.68,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 2606, LB: 17421992.082271494, (exp UB:19911012.600247867),  Gap: 12.50,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 2749, LB: 17421484.768125392, (exp UB:15777237.617094772),  Gap: -10.42,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 2893, LB: 17421216.251119375, (exp UB:13500257.372428961),  Gap: -29.04,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 3054, LB: 17421977.492691495, (exp UB:15615971.502051672),  Gap: -11.57,  Fixed x: False,  Fixed thetavar: False  
Iteration: 29, Duration: 3206, LB: 17421509.049947172, (exp UB:10320601.926768754),  Gap: -68.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 30, Duration: 3368, LB: 17422051.435527153, (exp UB:15340881.383841436),  Gap: -13.57,  Fixed x: False,  Fixed thetavar: False  
Iteration: 31, Duration: 3539, LB: 17422012.95851341, (exp UB:10600443.328901246),  Gap: -64.35,  Fixed x: False,  Fixed thetavar: False  
Iteration: 32, Duration: 3710, LB: 17421603.748541944, (exp UB:9943049.981655404),  Gap: -75.21,  Fixed x: False,  Fixed thetavar: False  
Iteration: 33, Duration: 3875, LB: 17421871.281567063, (exp UB:11812506.15875911),  Gap: -47.49,  Fixed x: False,  Fixed thetavar: False  
Iteration: 34, Duration: 4046, LB: 17422052.32519339, (exp UB:10235662.250509916),  Gap: -70.21,  Fixed x: False,  Fixed thetavar: False  
Iteration: 35, Duration: 4209, LB: 17422191.8713555, (exp UB:11018091.190032668),  Gap: -58.12,  Fixed x: False,  Fixed thetavar: False  
Iteration: 36, Duration: 4380, LB: 17422206.984179754, (exp UB:15464861.856590932),  Gap: -12.66,  Fixed x: False,  Fixed thetavar: False  
Iteration: 37, Duration: 4580, LB: 17422208.767866522, (exp UB:13399437.735235851),  Gap: -30.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 38, Duration: 4754, LB: 17422045.525646962, (exp UB:12094108.596075378),  Gap: -44.05,  Fixed x: False,  Fixed thetavar: False  
Iteration: 39, Duration: 4908, LB: 17422159.7206052, (exp UB:15602342.995812315),  Gap: -11.66,  Fixed x: False,  Fixed thetavar: False  
Iteration: 40, Duration: 5141, LB: 17422543.75254306, (exp UB:11387566.081031919),  Gap: -53.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 41, Duration: 5325, LB: 17422437.97760135, (exp UB:14736810.836957853),  Gap: -18.22,  Fixed x: False,  Fixed thetavar: False  
Iteration: 42, Duration: 5518, LB: 17422415.37196576, (exp UB:13349996.581441702),  Gap: -30.51,  Fixed x: False,  Fixed thetavar: False  
Iteration: 43, Duration: 5677, LB: 17422467.412491612, (exp UB:15829752.846759345),  Gap: -10.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 44, Duration: 5866, LB: 17422551.063491587, (exp UB:10263603.900286933),  Gap: -69.75,  Fixed x: False,  Fixed thetavar: False  
Iteration: 45, Duration: 6029, LB: 17422547.756182045, (exp UB:12819905.693631973),  Gap: -35.90,  Fixed x: False,  Fixed thetavar: False  
Iteration: 46, Duration: 6218, LB: 17422557.325521603, (exp UB:11273837.772820346),  Gap: -54.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 47, Duration: 6436, LB: 17422699.290147603, (exp UB:12652362.242202345),  Gap: -37.70,  Fixed x: False,  Fixed thetavar: False  
Iteration: 48, Duration: 6622, LB: 17422616.022768192, (exp UB:13124603.778570049),  Gap: -32.75,  Fixed x: False,  Fixed thetavar: False  
Iteration: 49, Duration: 6827, LB: 17422715.819243, (exp UB:13070120.342545077),  Gap: -33.30,  Fixed x: False,  Fixed thetavar: False  
Iteration: 50, Duration: 7044, LB: 17423480.508595876, (exp UB:11654971.426112842),  Gap: -49.49,  Fixed x: False,  Fixed thetavar: False  
Iteration: 51, Duration: 7239, LB: 17423099.80959025, (exp UB:10500828.052639548),  Gap: -65.92,  Fixed x: False,  Fixed thetavar: False  
Iteration: 52, Duration: 7436, LB: 17423262.22441048, (exp UB:11437364.304722447),  Gap: -52.34,  Fixed x: False,  Fixed thetavar: False  
Iteration: 53, Duration: 7657, LB: 17423531.34958397, (exp UB:15791371.043060549),  Gap: -10.34,  Fixed x: False,  Fixed thetavar: False  
Iteration: 54, Duration: 7786, LB: 17423992.197024174, (exp UB:13281505.999903101),  Gap: -31.19,  Fixed x: False,  Fixed thetavar: False  
Iteration: 55, Duration: 7952, LB: 17424646.5586937, (exp UB:11553848.648515046),  Gap: -50.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 56, Duration: 8129, LB: 17425252.760254733, (exp UB:12439524.094953153),  Gap: -40.08,  Fixed x: False,  Fixed thetavar: False  
Iteration: 57, Duration: 8292, LB: 17424161.80460743, (exp UB:15260336.903360259),  Gap: -14.18,  Fixed x: False,  Fixed thetavar: False  
Iteration: 58, Duration: 8414, LB: 17424514.15626748, (exp UB:9454825.994039118),  Gap: -84.29,  Fixed x: False,  Fixed thetavar: False  
Iteration: 59, Duration: 8580, LB: 17425586.091634966, (exp UB:10549676.949327718),  Gap: -65.18,  Fixed x: False,  Fixed thetavar: False  
Iteration: 60, Duration: 8758, LB: 17425510.235656723, (exp UB:14369426.106998548),  Gap: -21.27,  Fixed x: False,  Fixed thetavar: False  
Iteration: 61, Duration: 8947, LB: 17425183.962075837, (exp UB:11402916.643264823),  Gap: -52.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 62, Duration: 9091, LB: 17425633.008801714, (exp UB:15674316.915209774),  Gap: -11.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 63, Duration: 9265, LB: 17425774.9878722, (exp UB:13162308.319456786),  Gap: -32.39,  Fixed x: False,  Fixed thetavar: False  
Iteration: 64, Duration: 9534, LB: 17425899.017818343, (exp UB:13387086.046551572),  Gap: -30.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 65, Duration: 9726, LB: 17426732.943282265, (exp UB:13108839.76156716),  Gap: -32.94,  Fixed x: False,  Fixed thetavar: False  
Iteration: 66, Duration: 9897, LB: 17426338.71926846, (exp UB:12078666.884491257),  Gap: -44.27,  Fixed x: False,  Fixed thetavar: False  
Iteration: 67, Duration: 10098, LB: 17427869.841487978, (exp UB:13174796.988581717),  Gap: -32.28,  Fixed x: False,  Fixed thetavar: False  
Iteration: 68, Duration: 10313, LB: 17427483.14148252, (exp UB:13687292.266402064),  Gap: -27.33,  Fixed x: False,  Fixed thetavar: False  
Iteration: 69, Duration: 10487, LB: 17427890.287841655, (exp UB:12936265.252543036),  Gap: -34.72,  Fixed x: False,  Fixed thetavar: False  
Iteration: 70, Duration: 10734, LB: 17427929.97989607, (exp UB:9756776.563563878),  Gap: -78.62,  Fixed x: False,  Fixed thetavar: False  
Iteration: 71, Duration: 10945, LB: 17427748.311752893, (exp UB:13042397.185663607),  Gap: -33.62,  Fixed x: False,  Fixed thetavar: False  
Iteration: 72, Duration: 11201, LB: 17428019.501906402, (exp UB:11453427.147384),  Gap: -52.16,  Fixed x: False,  Fixed thetavar: False  
Iteration: 73, Duration: 11419, LB: 17428064.55323813, (exp UB:12061294.85673824),  Gap: -44.50,  Fixed x: False,  Fixed thetavar: False  
Iteration: 74, Duration: 11624, LB: 17428129.01690131, (exp UB:13794830.08302961),  Gap: -26.34,  Fixed x: False,  Fixed thetavar: False  
Iteration: 75, Duration: 11813, LB: 17428132.802308705, (exp UB:14740566.614046426),  Gap: -18.23,  Fixed x: False,  Fixed thetavar: False  
Iteration: 76, Duration: 11975, LB: 17428263.27061984, (exp UB:9881560.524831917),  Gap: -76.37,  Fixed x: False,  Fixed thetavar: False  
Iteration: 77, Duration: 12159, LB: 17429983.89301236, (exp UB:13212390.772249669),  Gap: -31.92,  Fixed x: False,  Fixed thetavar: False  
Iteration: 78, Duration: 12363, LB: 17430191.908574976, (exp UB:12906889.348147014),  Gap: -35.05,  Fixed x: False,  Fixed thetavar: False  
Iteration: 79, Duration: 12570, LB: 17430356.38791483, (exp UB:12137961.880030807),  Gap: -43.60,  Fixed x: False,  Fixed thetavar: False  
Iteration: 80, Duration: 12754, LB: 17430315.491286345, (exp UB:12309130.093323518),  Gap: -41.60,  Fixed x: False,  Fixed thetavar: False  
Iteration: 81, Duration: 12979, LB: 17430693.788801298, (exp UB:14008337.664225187),  Gap: -24.43,  Fixed x: False,  Fixed thetavar: False  
Iteration: 82, Duration: 13194, LB: 17430745.31418059, (exp UB:12795972.4659216),  Gap: -36.22,  Fixed x: False,  Fixed thetavar: False  
Iteration: 83, Duration: 13412, LB: 17430788.6167291, (exp UB:15782229.807063006),  Gap: -10.45,  Fixed x: False,  Fixed thetavar: False  
Iteration: 84, Duration: 13631, LB: 17429988.339706954, (exp UB:10913470.081311416),  Gap: -59.71,  Fixed x: False,  Fixed thetavar: False  
Iteration: 85, Duration: 13894, LB: 17431140.971122175, (exp UB:13988053.108052827),  Gap: -24.61,  Fixed x: False,  Fixed thetavar: False  
Iteration: 86, Duration: 14153, LB: 17431470.8151575, (exp UB:16591180.636957925),  Gap: -5.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 87, Duration: 14487, LB: 17431810.661831457, (exp UB:14178128.968791325),  Gap: -22.95,  Fixed x: False,  Fixed thetavar: False  
Iteration: 88, Duration: 14774, LB: 17431764.244168524, (exp UB:14013434.987385467),  Gap: -24.39,  Fixed x: False,  Fixed thetavar: False  
Iteration: 89, Duration: 15145, LB: 17431896.485533334, (exp UB:12622834.093930162),  Gap: -38.10,  Fixed x: False,  Fixed thetavar: False  
Iteration: 90, Duration: 15413, LB: 17432024.970523115, (exp UB:11770886.735244513),  Gap: -48.09,  Fixed x: False,  Fixed thetavar: False  
Iteration: 91, Duration: 15837, LB: 17431422.60698294, (exp UB:14844923.98396581),  Gap: -17.42,  Fixed x: False,  Fixed thetavar: False  
Iteration: 92, Duration: 16154, LB: 17431674.354621716, (exp UB:11996765.450611193),  Gap: -45.30,  Fixed x: False,  Fixed thetavar: False  
Iteration: 93, Duration: 16374, LB: 17432107.2177967, (exp UB:11930514.757735305),  Gap: -46.11,  Fixed x: False,  Fixed thetavar: False  
Iteration: 94, Duration: 16633, LB: 17432219.997259222, (exp UB:11131552.987580419),  Gap: -56.60,  Fixed x: False,  Fixed thetavar: False  
Iteration: 95, Duration: 16918, LB: 17432221.950814623, (exp UB:13414631.911622737),  Gap: -29.95,  Fixed x: False,  Fixed thetavar: False  
Iteration: 96, Duration: 17224, LB: 17432552.719933234, (exp UB:13300834.181301992),  Gap: -31.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 97, Duration: 17520, LB: 17432588.14897177, (exp UB:15170583.575046098),  Gap: -14.91,  Fixed x: False,  Fixed thetavar: False  
Iteration: 98, Duration: 17785, LB: 17432361.04421265, (exp UB:15316514.387651993),  Gap: -13.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 99, Duration: 18050, LB: 17432569.261855476, (exp UB:14641489.603476183),  Gap: -19.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 100, Duration: 18432, LB: 17433678.88742905, (exp UB:13842178.274134815),  Gap: -25.95,  Fixed x: False,  Fixed thetavar: False  
Iteration: 101, Duration: 18806, LB: 17433470.031535756, (exp UB:14201154.783819247),  Gap: -22.76,  Fixed x: False,  Fixed thetavar: False  
Iteration: 102, Duration: 19091, LB: 17433543.3018026, (exp UB:12935463.544739088),  Gap: -34.77,  Fixed x: False,  Fixed thetavar: False  
Iteration: 103, Duration: 19533, LB: 17433782.71597859, (exp UB:13291117.880946893),  Gap: -31.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 104, Duration: 19813, LB: 17433717.36438203, (exp UB:15952162.310774148),  Gap: -9.29,  Fixed x: False,  Fixed thetavar: False  
Iteration: 105, Duration: 20173, LB: 17433740.930558108, (exp UB:10912662.696798041),  Gap: -59.76,  Fixed x: False,  Fixed thetavar: False  
Iteration: 106, Duration: 20521, LB: 17433816.314586848, (exp UB:16411912.300285814),  Gap: -6.23,  Fixed x: False,  Fixed thetavar: False  
Iteration: 107, Duration: 20822, LB: 17433952.2876973, (exp UB:14344361.148241848),  Gap: -21.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 108, Duration: 21179, LB: 17433994.560411982, (exp UB:13638193.146320574),  Gap: -27.83,  Fixed x: False,  Fixed thetavar: False  
Iteration: 109, Duration: 21555, LB: 17433973.239227355, (exp UB:14824034.360234965),  Gap: -17.61,  Fixed x: False,  Fixed thetavar: False  
Iteration: 110, Duration: 21912, LB: 17433839.63905795, (exp UB:13660099.44164252),  Gap: -27.63,  Fixed x: False,  Fixed thetavar: False  
Iteration: 111, Duration: 22229, LB: 17433983.238054737, (exp UB:14691736.773464251),  Gap: -18.67,  Fixed x: False,  Fixed thetavar: False  
Iteration: 112, Duration: 22519, LB: 17434070.44268953, (exp UB:15007115.31726909),  Gap: -16.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 113, Duration: 22834, LB: 17434243.57916189, (exp UB:11080483.284248922),  Gap: -57.34,  Fixed x: False,  Fixed thetavar: False  
Iteration: 114, Duration: 23187, LB: 17434094.25168121, (exp UB:11794936.065849314),  Gap: -47.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 115, Duration: 23575, LB: 17434180.31348727, (exp UB:13513357.436407823),  Gap: -29.01,  Fixed x: False,  Fixed thetavar: False  
Iteration: 116, Duration: 23979, LB: 17434068.72703731, (exp UB:12092469.9788736),  Gap: -44.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 117, Duration: 24385, LB: 17434365.538200796, (exp UB:14162009.95157278),  Gap: -23.11,  Fixed x: False,  Fixed thetavar: False  
Iteration: 118, Duration: 24883, LB: 17434424.618183434, (exp UB:10484698.42652163),  Gap: -66.28,  Fixed x: False,  Fixed thetavar: False  
Iteration: 119, Duration: 25181, LB: 17434335.78940732, (exp UB:13769105.593136374),  Gap: -26.62,  Fixed x: False,  Fixed thetavar: False  
Iteration: 120, Duration: 25947, LB: 17434470.884017207, (exp UB:11314520.05181744),  Gap: -54.09,  Fixed x: False,  Fixed thetavar: False  
Iteration: 121, Duration: 26375, LB: 17434518.264205556, (exp UB:13184468.093205981),  Gap: -32.24,  Fixed x: False,  Fixed thetavar: False  
