Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: False 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 42, Duration: 5248, LB: 35705347.65572715, (exp UB:22215880.21857579),  Gap: -60.72,  Fixed x: False,  Fixed thetavar: False  
Iteration: 43, Duration: 5357, LB: 35705371.626233324, (exp UB:22863316.525424335),  Gap: -56.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 44, Duration: 5639, LB: 35707330.29737697, (exp UB:22008372.31267504),  Gap: -62.24,  Fixed x: False,  Fixed thetavar: False  
Iteration: 45, Duration: 5963, LB: 35707405.64467922, (exp UB:22166348.81214823),  Gap: -61.09,  Fixed x: False,  Fixed thetavar: False  
Iteration: 46, Duration: 6221, LB: 35705623.12027882, (exp UB:18837395.777025655),  Gap: -89.55,  Fixed x: False,  Fixed thetavar: False  
Iteration: 47, Duration: 6512, LB: 35707413.21929479, (exp UB:22906034.055597305),  Gap: -55.89,  Fixed x: False,  Fixed thetavar: False  
Iteration: 48, Duration: 6869, LB: 35705603.6985379, (exp UB:20605677.035234027),  Gap: -73.28,  Fixed x: False,  Fixed thetavar: False  
Iteration: 49, Duration: 7056, LB: 35705382.78468539, (exp UB:23118751.28732679),  Gap: -54.44,  Fixed x: False,  Fixed thetavar: False  
Iteration: 50, Duration: 7126, LB: 35705382.78468539, (exp UB:20761598.49763932),  Gap: -71.98,  Fixed x: False,  Fixed thetavar: False  
Iteration: 51, Duration: 7191, LB: 35705382.78468539, (exp UB:23800496.139231883),  Gap: -50.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 52, Duration: 7452, LB: 35705577.16360775, (exp UB:20716187.117893383),  Gap: -72.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 53, Duration: 7632, LB: 35706084.33355524, (exp UB:20708782.008558676),  Gap: -72.42,  Fixed x: False,  Fixed thetavar: False  
Iteration: 54, Duration: 7951, LB: 35707187.08002013, (exp UB:22992726.524502456),  Gap: -55.30,  Fixed x: False,  Fixed thetavar: False  
Iteration: 55, Duration: 8264, LB: 35706106.87067397, (exp UB:20832648.189584214),  Gap: -71.39,  Fixed x: False,  Fixed thetavar: False  
