Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 3347, LB: 114340.8829568965, (exp UB:115580.79704724463),  Gap: 1.07,  Fixed x: True,  Fixed thetavar: True  
Iteration: 2, Duration: 3359, LB: 114340.88551612962, (exp UB:118008.93939893802),  Gap: 3.11,  Fixed x: True,  Fixed thetavar: True  
Iteration: 3, Duration: 3370, LB: 114340.88551786476, (exp UB:117391.1443188452),  Gap: 2.60,  Fixed x: True,  Fixed thetavar: True  
Iteration: 4, Duration: 3384, LB: 114723.85641349165, (exp UB:116676.95849046338),  Gap: 1.67,  Fixed x: True,  Fixed thetavar: True  
Iteration: 5, Duration: 3402, LB: 117087.82428732511, (exp UB:119484.45917898235),  Gap: 2.01,  Fixed x: True,  Fixed thetavar: True  
Iteration: 6, Duration: 3418, LB: 117767.53959067662, (exp UB:119051.25375791258),  Gap: 1.08,  Fixed x: True,  Fixed thetavar: True  
Iteration: 7, Duration: 3433, LB: 118445.42693039695, (exp UB:118819.19765776205),  Gap: 0.31,  Fixed x: True,  Fixed thetavar: True  
Change stage 1 problem to integer 
Iteration: 8, Duration: 3456, LB: 114341.02184999971, (exp UB:116044.92768938071),  Gap: 1.47,  Fixed x: True,  Fixed thetavar: True  
Iteration: 9, Duration: 3476, LB: 114341.22984999533, (exp UB:115854.66331024635),  Gap: 1.31,  Fixed x: True,  Fixed thetavar: True  
Iteration: 10, Duration: 3498, LB: 114879.40531671242, (exp UB:115654.21230858983),  Gap: 0.67,  Fixed x: True,  Fixed thetavar: True  
Iteration: 11, Duration: 3521, LB: 115047.90664219174, (exp UB:116101.5331559058),  Gap: 0.91,  Fixed x: True,  Fixed thetavar: True  
Iteration: 12, Duration: 3552, LB: 116505.67788021844, (exp UB:118718.56030613264),  Gap: 1.86,  Fixed x: True,  Fixed thetavar: True  
