Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 10409, LB: 106739.54940702074, (exp UB:107162.94526399716),  Gap: 0.40,  Fixed x: True,  Fixed thetavar: True  
Change stage 1 problem to integer 
Iteration: 2, Duration: 10437, LB: 106702.83151638646, (exp UB:121267.14044923753),  Gap: 12.01,  Fixed x: True,  Fixed thetavar: True  
Iteration: 3, Duration: 10467, LB: 106702.83727111286, (exp UB:277192.55175900954),  Gap: 61.51,  Fixed x: True,  Fixed thetavar: True  
Iteration: 4, Duration: 10496, LB: 106702.91992016933, (exp UB:349285.9096276882),  Gap: 69.45,  Fixed x: True,  Fixed thetavar: True  
Iteration: 5, Duration: 10526, LB: 106702.92919642015, (exp UB:108298.67777419896),  Gap: 1.47,  Fixed x: True,  Fixed thetavar: True  
Iteration: 6, Duration: 10559, LB: 106702.84354050795, (exp UB:221150.10874459718),  Gap: 51.75,  Fixed x: True,  Fixed thetavar: True  
Iteration: 7, Duration: 10597, LB: 106702.84402967324, (exp UB:109956.71261689902),  Gap: 2.96,  Fixed x: True,  Fixed thetavar: True  
Iteration: 8, Duration: 10633, LB: 106702.84523324203, (exp UB:108593.22799527695),  Gap: 1.74,  Fixed x: True,  Fixed thetavar: True  
Iteration: 9, Duration: 10671, LB: 106702.84670535981, (exp UB:109073.36033695903),  Gap: 2.17,  Fixed x: True,  Fixed thetavar: True  
Iteration: 10, Duration: 10709, LB: 106702.84599154539, (exp UB:108906.6888133985),  Gap: 2.02,  Fixed x: True,  Fixed thetavar: True  
Iteration: 11, Duration: 10754, LB: 106702.84624752101, (exp UB:109516.4121250227),  Gap: 2.57,  Fixed x: True,  Fixed thetavar: True  
Iteration: 12, Duration: 10797, LB: 106702.84736068697, (exp UB:115728.76954700063),  Gap: 7.80,  Fixed x: True,  Fixed thetavar: True  
Iteration: 13, Duration: 10847, LB: 106702.87576656994, (exp UB:108902.8300815342),  Gap: 2.02,  Fixed x: True,  Fixed thetavar: True  
Iteration: 14, Duration: 10901, LB: 106702.8558734567, (exp UB:108612.76737250043),  Gap: 1.76,  Fixed x: True,  Fixed thetavar: True  
Iteration: 15, Duration: 10952, LB: 106702.88276652759, (exp UB:670756.4363232183),  Gap: 84.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 16, Duration: 11012, LB: 106702.97976650331, (exp UB:277139.2576286596),  Gap: 61.50,  Fixed x: True,  Fixed thetavar: True  
Iteration: 17, Duration: 11065, LB: 106702.93948013497, (exp UB:199768.47002779116),  Gap: 46.59,  Fixed x: True,  Fixed thetavar: True  
Iteration: 18, Duration: 11122, LB: 106703.04977527777, (exp UB:253949.68920216738),  Gap: 57.98,  Fixed x: True,  Fixed thetavar: True  
Iteration: 19, Duration: 11178, LB: 106703.2189556218, (exp UB:137141.25993282875),  Gap: 22.19,  Fixed x: True,  Fixed thetavar: True  
Iteration: 20, Duration: 11248, LB: 106702.87907970435, (exp UB:108800.98723741842),  Gap: 1.93,  Fixed x: True,  Fixed thetavar: True  
Iteration: 21, Duration: 11319, LB: 106704.64855831063, (exp UB:123840.11569235721),  Gap: 13.84,  Fixed x: True,  Fixed thetavar: True  
Iteration: 22, Duration: 11388, LB: 106702.94847733802, (exp UB:108698.23863951785),  Gap: 1.84,  Fixed x: True,  Fixed thetavar: True  
Iteration: 23, Duration: 11458, LB: 106702.88330398504, (exp UB:108806.15767027746),  Gap: 1.93,  Fixed x: True,  Fixed thetavar: True  
Iteration: 24, Duration: 11532, LB: 106703.01521590623, (exp UB:138041.80541989006),  Gap: 22.70,  Fixed x: True,  Fixed thetavar: True  
Iteration: 25, Duration: 11604, LB: 106706.48794195626, (exp UB:108222.36454980164),  Gap: 1.40,  Fixed x: True,  Fixed thetavar: True  
Iteration: 26, Duration: 11677, LB: 106703.0770592493, (exp UB:108493.2590459548),  Gap: 1.65,  Fixed x: True,  Fixed thetavar: True  
Iteration: 27, Duration: 11752, LB: 106712.2765381687, (exp UB:108436.63680986987),  Gap: 1.59,  Fixed x: True,  Fixed thetavar: True  
Iteration: 28, Duration: 11826, LB: 106703.29343945254, (exp UB:127400.49123172264),  Gap: 16.25,  Fixed x: True,  Fixed thetavar: True  
Iteration: 29, Duration: 11900, LB: 106707.17576877699, (exp UB:271509.7955775641),  Gap: 60.70,  Fixed x: True,  Fixed thetavar: True  
Iteration: 30, Duration: 11980, LB: 106703.84714779115, (exp UB:107941.84065946093),  Gap: 1.15,  Fixed x: True,  Fixed thetavar: True  
Iteration: 31, Duration: 12063, LB: 106706.57596788344, (exp UB:108037.68518478234),  Gap: 1.23,  Fixed x: True,  Fixed thetavar: True  
Iteration: 32, Duration: 12143, LB: 106707.049549953, (exp UB:108772.06117363708),  Gap: 1.90,  Fixed x: True,  Fixed thetavar: True  
Iteration: 33, Duration: 12227, LB: 106707.35338698122, (exp UB:106526.17268703989),  Gap: -0.17,  Fixed x: True,  Fixed thetavar: True  
Iteration: 34, Duration: 12316, LB: 106707.29638725279, (exp UB:107436.80769905254),  Gap: 0.68,  Fixed x: True,  Fixed thetavar: True  
Iteration: 35, Duration: 12396, LB: 106714.63361602154, (exp UB:107263.30934697771),  Gap: 0.51,  Fixed x: True,  Fixed thetavar: True  
Iteration: 36, Duration: 12487, LB: 106707.97066255141, (exp UB:108446.95876185804),  Gap: 1.60,  Fixed x: True,  Fixed thetavar: True  
Iteration: 37, Duration: 12589, LB: 106708.07301075042, (exp UB:108233.22689230343),  Gap: 1.41,  Fixed x: True,  Fixed thetavar: True  
Iteration: 38, Duration: 12682, LB: 106711.95834163364, (exp UB:108975.2007097389),  Gap: 2.08,  Fixed x: True,  Fixed thetavar: True  
Iteration: 39, Duration: 12782, LB: 106708.21639767218, (exp UB:120360.14850318914),  Gap: 11.34,  Fixed x: True,  Fixed thetavar: True  
Iteration: 40, Duration: 12874, LB: 106714.05165453789, (exp UB:108151.26959473165),  Gap: 1.33,  Fixed x: True,  Fixed thetavar: True  
Iteration: 41, Duration: 12965, LB: 106708.24488340272, (exp UB:107203.63177776139),  Gap: 0.46,  Fixed x: True,  Fixed thetavar: True  
Iteration: 42, Duration: 13080, LB: 106708.25403091249, (exp UB:107430.5586181877),  Gap: 0.67,  Fixed x: True,  Fixed thetavar: True  
Iteration: 43, Duration: 13175, LB: 106709.45897588896, (exp UB:110565.64948681425),  Gap: 3.49,  Fixed x: True,  Fixed thetavar: True  
Iteration: 44, Duration: 13278, LB: 106711.31070060437, (exp UB:109766.54177089238),  Gap: 2.78,  Fixed x: True,  Fixed thetavar: True  
Iteration: 45, Duration: 13389, LB: 106710.6420067403, (exp UB:109404.89952207298),  Gap: 2.46,  Fixed x: True,  Fixed thetavar: True  
Iteration: 46, Duration: 13503, LB: 106710.55186529079, (exp UB:185183.37931556813),  Gap: 42.38,  Fixed x: True,  Fixed thetavar: True  
Iteration: 47, Duration: 13629, LB: 106710.52755447535, (exp UB:109338.62994474034),  Gap: 2.40,  Fixed x: True,  Fixed thetavar: True  
Iteration: 48, Duration: 13739, LB: 106710.91853067963, (exp UB:108160.88409454508),  Gap: 1.34,  Fixed x: True,  Fixed thetavar: True  
Iteration: 49, Duration: 13859, LB: 106711.80055353716, (exp UB:108045.60752369216),  Gap: 1.23,  Fixed x: True,  Fixed thetavar: True  
Iteration: 50, Duration: 13977, LB: 106711.59407414336, (exp UB:108130.41327395481),  Gap: 1.31,  Fixed x: True,  Fixed thetavar: True  
Iteration: 51, Duration: 14101, LB: 106712.47470419314, (exp UB:109417.31065332162),  Gap: 2.47,  Fixed x: True,  Fixed thetavar: True  
Iteration: 52, Duration: 14228, LB: 106716.4131282277, (exp UB:108970.64619204577),  Gap: 2.07,  Fixed x: True,  Fixed thetavar: True  
Iteration: 53, Duration: 14353, LB: 106715.87583277273, (exp UB:169375.04450115422),  Gap: 36.99,  Fixed x: True,  Fixed thetavar: True  
Iteration: 54, Duration: 14465, LB: 106716.49670872543, (exp UB:108115.83406469639),  Gap: 1.29,  Fixed x: True,  Fixed thetavar: True  
Iteration: 55, Duration: 14594, LB: 106717.01881342006, (exp UB:108698.89490445511),  Gap: 1.82,  Fixed x: True,  Fixed thetavar: True  
Iteration: 56, Duration: 14724, LB: 106717.37452118949, (exp UB:108836.34956143194),  Gap: 1.95,  Fixed x: True,  Fixed thetavar: True  
Iteration: 57, Duration: 14857, LB: 106718.60633883123, (exp UB:108859.01409297819),  Gap: 1.97,  Fixed x: True,  Fixed thetavar: True  
Iteration: 58, Duration: 14993, LB: 106717.79442201037, (exp UB:108057.99679890834),  Gap: 1.24,  Fixed x: True,  Fixed thetavar: True  
Iteration: 59, Duration: 15142, LB: 106718.93288372517, (exp UB:107938.09125622206),  Gap: 1.13,  Fixed x: True,  Fixed thetavar: True  
Iteration: 60, Duration: 15272, LB: 106721.07738091516, (exp UB:107822.41697035446),  Gap: 1.02,  Fixed x: True,  Fixed thetavar: True  
Iteration: 61, Duration: 15412, LB: 106718.21212623097, (exp UB:108057.85910923239),  Gap: 1.24,  Fixed x: True,  Fixed thetavar: True  
