Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 113, LB: 144999.22917992523, (exp UB:144813.00204740968),  Gap: -0.13,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 2, Duration: 126, LB: 144999.87920416798, (exp UB:167575.0553129176),  Gap: 13.47,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 139, LB: 410305.3621755494, (exp UB:517044.45800000004),  Gap: 20.64,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 154, LB: 672320.7750979633, (exp UB:1944881.98568549),  Gap: 65.43,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 167, LB: 674798.1150317164, (exp UB:1905809.6699351654),  Gap: 64.59,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 180, LB: 676832.6855065566, (exp UB:1409586.8860848038),  Gap: 51.98,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 193, LB: 678886.5347297603, (exp UB:1811541.308148101),  Gap: 62.52,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 208, LB: 694896.6124419377, (exp UB:195978.61785896093),  Gap: -254.58,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 222, LB: 704810.3567711844, (exp UB:184682.7634328818),  Gap: -281.63,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 235, LB: 979233.6427318502, (exp UB:455299.183955679),  Gap: -115.07,  Fixed x: False,  Fixed thetavar: False  
Iteration: 11, Duration: 246, LB: 1052803.5665225084, (exp UB:1480224.8653333336),  Gap: 28.88,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 259, LB: 1060191.7175626107, (exp UB:1352174.5153004592),  Gap: 21.59,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 271, LB: 1061965.5427401345, (exp UB:1975528.345173494),  Gap: 46.24,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 284, LB: 1062144.6864441005, (exp UB:1960206.1910807772),  Gap: 45.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 298, LB: 1064518.8127406407, (exp UB:158378.53233333345),  Gap: -572.14,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 311, LB: 1064987.3139276914, (exp UB:153433.15866666677),  Gap: -594.11,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 325, LB: 1065114.312629882, (exp UB:938154.6163016885),  Gap: -13.53,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 340, LB: 1066623.4812883097, (exp UB:922131.9343752586),  Gap: -15.67,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 358, LB: 1067363.1375541617, (exp UB:1474393.2392342607),  Gap: 27.61,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 375, LB: 1068560.8145003803, (exp UB:145781.3543623515),  Gap: -632.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 393, LB: 1068931.5599001744, (exp UB:947258.3838689965),  Gap: -12.84,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 412, LB: 1069267.3607184188, (exp UB:917920.2125023354),  Gap: -16.49,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 434, LB: 1069818.8019022634, (exp UB:1755480.7530449536),  Gap: 39.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 451, LB: 1069991.1771063535, (exp UB:144057.80178185483),  Gap: -642.75,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 467, LB: 1070424.8514722972, (exp UB:563791.0234055135),  Gap: -89.86,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 485, LB: 1072736.532821096, (exp UB:2800620.885841446),  Gap: 61.70,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 499, LB: 1075085.1254233317, (exp UB:662571.7009465448),  Gap: -62.26,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 515, LB: 1076811.1551585384, (exp UB:171222.23826476035),  Gap: -528.90,  Fixed x: False,  Fixed thetavar: False  
Iteration: 29, Duration: 529, LB: 1076804.6063020409, (exp UB:1183539.3194850525),  Gap: 9.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 30, Duration: 544, LB: 1079982.8356729452, (exp UB:152683.8781231455),  Gap: -607.33,  Fixed x: False,  Fixed thetavar: False  
Iteration: 31, Duration: 561, LB: 1080132.3610464039, (exp UB:2257654.659076187),  Gap: 52.16,  Fixed x: False,  Fixed thetavar: False  
Iteration: 32, Duration: 576, LB: 1080401.1677556324, (exp UB:2666714.0774668106),  Gap: 59.49,  Fixed x: False,  Fixed thetavar: False  
Iteration: 33, Duration: 591, LB: 1080396.8258486923, (exp UB:930102.2521520838),  Gap: -16.16,  Fixed x: False,  Fixed thetavar: False  
Iteration: 34, Duration: 606, LB: 1080460.657386177, (exp UB:1465505.8206759277),  Gap: 26.27,  Fixed x: False,  Fixed thetavar: False  
Iteration: 35, Duration: 623, LB: 1081755.5415279958, (exp UB:1333503.9929101947),  Gap: 18.88,  Fixed x: False,  Fixed thetavar: False  
Iteration: 36, Duration: 639, LB: 1082152.8197449262, (exp UB:1895249.3183780666),  Gap: 42.90,  Fixed x: False,  Fixed thetavar: False  
Iteration: 37, Duration: 655, LB: 1082273.9774744469, (exp UB:1332823.2436782126),  Gap: 18.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 38, Duration: 673, LB: 1084947.9087969863, (exp UB:947474.2675620844),  Gap: -14.51,  Fixed x: False,  Fixed thetavar: False  
Iteration: 39, Duration: 692, LB: 1085737.2801805648, (exp UB:1460910.0345006092),  Gap: 25.68,  Fixed x: False,  Fixed thetavar: False  
Iteration: 40, Duration: 709, LB: 1086159.878681582, (exp UB:138171.69817278523),  Gap: -686.09,  Fixed x: False,  Fixed thetavar: False  
Iteration: 41, Duration: 727, LB: 1086193.6212062805, (exp UB:932399.9285957882),  Gap: -16.49,  Fixed x: False,  Fixed thetavar: False  
Iteration: 42, Duration: 746, LB: 1086176.6472145813, (exp UB:568619.1655369365),  Gap: -91.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 43, Duration: 767, LB: 1086376.1266381983, (exp UB:1474233.5957804965),  Gap: 26.31,  Fixed x: False,  Fixed thetavar: False  
Iteration: 44, Duration: 786, LB: 1086482.952521944, (exp UB:155066.7877791878),  Gap: -600.65,  Fixed x: False,  Fixed thetavar: False  
Iteration: 45, Duration: 809, LB: 1086545.7481816867, (exp UB:1331086.6903149555),  Gap: 18.37,  Fixed x: False,  Fixed thetavar: False  
Iteration: 46, Duration: 826, LB: 1086832.239785199, (exp UB:1703341.0584581043),  Gap: 36.19,  Fixed x: False,  Fixed thetavar: False  
Iteration: 47, Duration: 846, LB: 1087255.0484578572, (exp UB:939277.2083784684),  Gap: -15.75,  Fixed x: False,  Fixed thetavar: False  
Iteration: 48, Duration: 871, LB: 1087226.2163780998, (exp UB:1387782.6754149152),  Gap: 21.66,  Fixed x: False,  Fixed thetavar: False  
Iteration: 49, Duration: 891, LB: 1087176.4199256361, (exp UB:142408.3368416347),  Gap: -663.42,  Fixed x: False,  Fixed thetavar: False  
Iteration: 50, Duration: 910, LB: 1087279.4147559628, (exp UB:146018.47766730518),  Gap: -644.62,  Fixed x: False,  Fixed thetavar: False  
Iteration: 51, Duration: 932, LB: 1087294.6910514727, (exp UB:139361.4699999986),  Gap: -680.20,  Fixed x: False,  Fixed thetavar: False  
Iteration: 52, Duration: 955, LB: 1087500.5240721428, (exp UB:1322709.6137005552),  Gap: 17.78,  Fixed x: False,  Fixed thetavar: False  
Iteration: 53, Duration: 978, LB: 1087506.8088305076, (exp UB:547360.8303305428),  Gap: -98.68,  Fixed x: False,  Fixed thetavar: False  
Iteration: 54, Duration: 1006, LB: 1087587.963272494, (exp UB:2669472.756628994),  Gap: 59.26,  Fixed x: False,  Fixed thetavar: False  
Iteration: 55, Duration: 1028, LB: 1087852.5263528218, (exp UB:149045.1094415392),  Gap: -629.88,  Fixed x: False,  Fixed thetavar: False  
Iteration: 56, Duration: 1051, LB: 1087982.7871957303, (exp UB:922244.7779661183),  Gap: -17.97,  Fixed x: False,  Fixed thetavar: False  
Iteration: 57, Duration: 1071, LB: 1088389.6004804894, (exp UB:1765542.1680420039),  Gap: 38.35,  Fixed x: False,  Fixed thetavar: False  
Iteration: 58, Duration: 1091, LB: 1088360.1091898587, (exp UB:552839.7068679358),  Gap: -96.87,  Fixed x: False,  Fixed thetavar: False  
Iteration: 59, Duration: 1110, LB: 1088361.7308031903, (exp UB:1342093.9962962258),  Gap: 18.91,  Fixed x: False,  Fixed thetavar: False  
Iteration: 60, Duration: 1133, LB: 1088504.738788753, (exp UB:1473427.9168077721),  Gap: 26.12,  Fixed x: False,  Fixed thetavar: False  
Iteration: 61, Duration: 1154, LB: 1088694.4203094426, (exp UB:1347418.0185786714),  Gap: 19.20,  Fixed x: False,  Fixed thetavar: False  
Iteration: 62, Duration: 1178, LB: 1088758.5797675876, (exp UB:545052.153105358),  Gap: -99.75,  Fixed x: False,  Fixed thetavar: False  
Iteration: 63, Duration: 1205, LB: 1088808.4252342815, (exp UB:1377372.0849875137),  Gap: 20.95,  Fixed x: False,  Fixed thetavar: False  
Iteration: 64, Duration: 1230, LB: 1088901.7263053798, (exp UB:1375782.7602100414),  Gap: 20.85,  Fixed x: False,  Fixed thetavar: False  
Iteration: 65, Duration: 1254, LB: 1088874.7312671142, (exp UB:141324.7862068445),  Gap: -670.48,  Fixed x: False,  Fixed thetavar: False  
Iteration: 66, Duration: 1279, LB: 1088905.3776989141, (exp UB:1338171.470381136),  Gap: 18.63,  Fixed x: False,  Fixed thetavar: False  
Iteration: 67, Duration: 1310, LB: 1088962.6771513633, (exp UB:692322.6533265548),  Gap: -57.29,  Fixed x: False,  Fixed thetavar: False  
Iteration: 68, Duration: 1339, LB: 1089001.3859972958, (exp UB:163535.5742411414),  Gap: -565.91,  Fixed x: False,  Fixed thetavar: False  
Iteration: 69, Duration: 1367, LB: 1088996.2403130159, (exp UB:1735988.3853359288),  Gap: 37.27,  Fixed x: False,  Fixed thetavar: False  
Iteration: 70, Duration: 1394, LB: 1089045.0800041747, (exp UB:150724.97528337635),  Gap: -622.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 71, Duration: 1422, LB: 1089052.8111420637, (exp UB:147578.14742266535),  Gap: -637.95,  Fixed x: False,  Fixed thetavar: False  
Iteration: 72, Duration: 1450, LB: 1089062.7645320022, (exp UB:1738666.7571951172),  Gap: 37.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 73, Duration: 1480, LB: 1089066.5317428398, (exp UB:1459145.711326787),  Gap: 25.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 74, Duration: 1513, LB: 1089065.0203393283, (exp UB:156034.29831706034),  Gap: -597.97,  Fixed x: False,  Fixed thetavar: False  
Iteration: 75, Duration: 1542, LB: 1089069.6865726195, (exp UB:1489726.5242542503),  Gap: 26.89,  Fixed x: False,  Fixed thetavar: False  
Iteration: 76, Duration: 1569, LB: 1089394.1900044032, (exp UB:1347436.4115624835),  Gap: 19.15,  Fixed x: False,  Fixed thetavar: False  
