Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 41, Duration: 10257, LB: 5138864.200036381, (exp UB:5186940.233989493),  Gap: 0.93,  Fixed x: True,  Fixed thetavar: True  
Iteration: 42, Duration: 10670, LB: 5139002.194124196, (exp UB:5353167.815081325),  Gap: 4.00,  Fixed x: True,  Fixed thetavar: True  
Iteration: 43, Duration: 10813, LB: 5139092.199483702, (exp UB:4972651.376656119),  Gap: -3.35,  Fixed x: True,  Fixed thetavar: True  
Iteration: 44, Duration: 11007, LB: 5139360.019188395, (exp UB:4911578.289896921),  Gap: -4.64,  Fixed x: True,  Fixed thetavar: True  
Iteration: 45, Duration: 11166, LB: 5139216.6341442745, (exp UB:5929516.988664574),  Gap: 13.33,  Fixed x: True,  Fixed thetavar: True  
Iteration: 46, Duration: 11306, LB: 5139295.189021917, (exp UB:4912000.693988286),  Gap: -4.63,  Fixed x: True,  Fixed thetavar: True  
Iteration: 47, Duration: 11461, LB: 5139547.817038752, (exp UB:7438990.006543523),  Gap: 30.91,  Fixed x: True,  Fixed thetavar: True  
Iteration: 48, Duration: 11823, LB: 5139574.778665659, (exp UB:4914686.7772534145),  Gap: -4.58,  Fixed x: True,  Fixed thetavar: True  
Iteration: 49, Duration: 12055, LB: 5139466.708583482, (exp UB:4902036.979433955),  Gap: -4.84,  Fixed x: True,  Fixed thetavar: True  
Iteration: 50, Duration: 12261, LB: 5139723.754096801, (exp UB:4909689.127416113),  Gap: -4.69,  Fixed x: True,  Fixed thetavar: True  
Iteration: 51, Duration: 12468, LB: 5139791.542081738, (exp UB:4898905.00400004),  Gap: -4.92,  Fixed x: True,  Fixed thetavar: True  
Iteration: 52, Duration: 12679, LB: 5139817.7815547995, (exp UB:5913703.597109718),  Gap: 13.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 53, Duration: 12884, LB: 5139868.937127262, (exp UB:4897954.597294058),  Gap: -4.94,  Fixed x: True,  Fixed thetavar: True  
Iteration: 54, Duration: 13107, LB: 5139895.924894034, (exp UB:4908809.524919184),  Gap: -4.71,  Fixed x: True,  Fixed thetavar: True  
Iteration: 55, Duration: 13362, LB: 5139919.329306233, (exp UB:5299933.374149467),  Gap: 3.02,  Fixed x: True,  Fixed thetavar: True  
Iteration: 56, Duration: 13577, LB: 5139996.419079127, (exp UB:4903878.767333227),  Gap: -4.81,  Fixed x: True,  Fixed thetavar: True  
Iteration: 57, Duration: 13811, LB: 5140128.467529647, (exp UB:5037993.308991543),  Gap: -2.03,  Fixed x: True,  Fixed thetavar: True  
Iteration: 58, Duration: 14046, LB: 5140277.122976026, (exp UB:4909331.5003012195),  Gap: -4.70,  Fixed x: True,  Fixed thetavar: True  
Iteration: 59, Duration: 14282, LB: 5140436.647022697, (exp UB:5206405.245317966),  Gap: 1.27,  Fixed x: True,  Fixed thetavar: True  
Iteration: 60, Duration: 14775, LB: 5140542.666500198, (exp UB:5117616.913895221),  Gap: -0.45,  Fixed x: True,  Fixed thetavar: True  
Iteration: 61, Duration: 15072, LB: 5140557.699476305, (exp UB:6062132.716889291),  Gap: 15.20,  Fixed x: True,  Fixed thetavar: True  
Iteration: 62, Duration: 15358, LB: 5140576.057192397, (exp UB:5413603.156547135),  Gap: 5.04,  Fixed x: True,  Fixed thetavar: True  
Iteration: 63, Duration: 15626, LB: 5140577.330182271, (exp UB:7611227.860123776),  Gap: 32.46,  Fixed x: True,  Fixed thetavar: True  
Iteration: 64, Duration: 15953, LB: 5140868.628992012, (exp UB:4976525.027634162),  Gap: -3.30,  Fixed x: True,  Fixed thetavar: True  
Iteration: 65, Duration: 16197, LB: 5140879.502319774, (exp UB:4907612.451164796),  Gap: -4.75,  Fixed x: True,  Fixed thetavar: True  
Iteration: 66, Duration: 16769, LB: 5140991.862572238, (exp UB:5097593.859190047),  Gap: -0.85,  Fixed x: True,  Fixed thetavar: True  
Iteration: 67, Duration: 17014, LB: 5141016.47552522, (exp UB:4902591.815039543),  Gap: -4.86,  Fixed x: True,  Fixed thetavar: True  
Iteration: 68, Duration: 17244, LB: 5141045.164259975, (exp UB:5761599.437425158),  Gap: 10.77,  Fixed x: True,  Fixed thetavar: True  
Iteration: 69, Duration: 17458, LB: 5141186.790969968, (exp UB:4897518.320311801),  Gap: -4.98,  Fixed x: True,  Fixed thetavar: True  
Iteration: 70, Duration: 17737, LB: 5141227.0467747245, (exp UB:5324462.392559569),  Gap: 3.44,  Fixed x: True,  Fixed thetavar: True  
Iteration: 71, Duration: 17990, LB: 5141242.6694073565, (exp UB:4901566.107437927),  Gap: -4.89,  Fixed x: True,  Fixed thetavar: True  
Iteration: 72, Duration: 18285, LB: 5141267.211454892, (exp UB:8903163.584403586),  Gap: 42.25,  Fixed x: True,  Fixed thetavar: True  
Iteration: 73, Duration: 18529, LB: 5141437.1009170385, (exp UB:5326954.402511899),  Gap: 3.48,  Fixed x: True,  Fixed thetavar: True  
Iteration: 74, Duration: 18831, LB: 5141415.180296237, (exp UB:5147186.130496601),  Gap: 0.11,  Fixed x: True,  Fixed thetavar: True  
Iteration: 75, Duration: 19091, LB: 5141438.75704072, (exp UB:8299974.802275687),  Gap: 38.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 76, Duration: 19412, LB: 5141450.954225383, (exp UB:4902598.422690088),  Gap: -4.87,  Fixed x: True,  Fixed thetavar: True  
Iteration: 77, Duration: 19676, LB: 5141511.011861722, (exp UB:4904401.9588285),  Gap: -4.83,  Fixed x: True,  Fixed thetavar: True  
Iteration: 78, Duration: 20299, LB: 5141579.447016641, (exp UB:5436686.452650155),  Gap: 5.43,  Fixed x: True,  Fixed thetavar: True  
Iteration: 79, Duration: 20619, LB: 5141513.683810769, (exp UB:5241494.337449417),  Gap: 1.91,  Fixed x: True,  Fixed thetavar: True  
Iteration: 80, Duration: 20903, LB: 5141621.401165996, (exp UB:5403632.981599127),  Gap: 4.85,  Fixed x: True,  Fixed thetavar: True  
Iteration: 81, Duration: 21172, LB: 5141660.529720142, (exp UB:5009953.412746343),  Gap: -2.63,  Fixed x: True,  Fixed thetavar: True  
Iteration: 82, Duration: 21561, LB: 5141679.379553832, (exp UB:6529415.845575462),  Gap: 21.25,  Fixed x: True,  Fixed thetavar: True  
Iteration: 83, Duration: 21918, LB: 5141706.360182325, (exp UB:5287005.865295978),  Gap: 2.75,  Fixed x: True,  Fixed thetavar: True  
Iteration: 84, Duration: 22222, LB: 5141709.08785468, (exp UB:5006330.786470127),  Gap: -2.70,  Fixed x: True,  Fixed thetavar: True  
Iteration: 85, Duration: 22551, LB: 5141731.161368217, (exp UB:5116901.575769107),  Gap: -0.49,  Fixed x: True,  Fixed thetavar: True  
Iteration: 86, Duration: 22844, LB: 5141757.102589042, (exp UB:5454210.466792995),  Gap: 5.73,  Fixed x: True,  Fixed thetavar: True  
Iteration: 87, Duration: 23175, LB: 5141834.198613592, (exp UB:4909124.914335358),  Gap: -4.74,  Fixed x: True,  Fixed thetavar: True  
